sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Ankara,3_Yasli_Ingilizler,Maiden,1600,Cim,58,3yde,28,FatihRustemBEBEK,9790
Ankara,3_ve_Yukari_Ingilizler,Handikap_16_H1,1900,Cim,53,4yda,47,EmrahSINCAN,11803
Ankara,2_Yasli_Ingilizler,G_1,1300,Cim,57,2yde,86,AyhanKURSUN,7765
Ankara,4_ve_Yukari_Araplar,KV_6,1600,Cim,54,5ykk,90,MuslumCELIK,10582
Ankara,3_ve_Yukari_Ingilizler,G_1_Disi,1600,Cim,55.5,3ydd,106,GokhanKOCAKAYA,9649
Ankara,3_Yasli_Ingilizler,Maiden,1600,Cim,58,3yde,36,HarunKILICARSLAN,9771
Izmir,3_ve_Yukari_Ingilizler,SARTLI_3,2000,Cim,57,5yaa,54,MustafaCICEK,12393
Izmir,3_Yasli_Araplar,Maiden,1200,Cim,57,3yae,33,SinanOZEN,8059
Izmir,3_ve_Yukari_Ingilizler,SARTLI_4,1300,Cim,59,4yda,72,AliYILDIZ,7726
Izmir,4_ve_Yukari_Araplar,Handikap_16_H2,1900,Kum,50,5yka,34,BurakAVERBAK,13591
Izmir,4_ve_Yukari_Araplar,SARTLI_4,1200,Cim,56,6yka,90,MustafaCICEK,7760
Izmir,3_Yasli_Ingilizler,SARTLI_5,2000,Kum,54,3ydd,76,NevzatAVCI,13007
Izmir,3_Yasli_Araplar,Maiden,1200,Cim,55,3yad,33,HalilKAPLAN,8023
Izmir,3_Yasli_Ingilizler,Handikap_14_H2,1600,Kum,57,3yde,40,KaancanGOKCE,10341
Bursa,3_ve_Yukari_Ingilizler,Handikap_15_H2,2400,Cim,61,7yda,53,CetinTAS,15293
Bursa,3_Yasli_Araplar,Maiden,1200,Cim,60,3yde,36,HismanCIZIK,8172
Bursa,4_ve_Yukari_Araplar,SARTLI_5,2200,Cim,54,6yak,80,GorkemOZCELIK,15298
Bursa,3_Yasli_Ingilizler,KV_8_Disi,1400,Cim,58,3ydd,74,AhmetOLUK,8408
Bursa,3_Yasli_Araplar,Maiden,1200,Cim,57,3yae,32,AhmetARSLAN,8078
Bursa,2_Yasli_Ingilizler,SARTLI_3,1400,Kum,51,2ydd,37,FurkanHIM,8939
Bursa,3_ve_Yukari_Ingilizler,KV_9,2000,Kum,58,4yda,101,HismanCIZIK,12850
Bursa,4_ve_Yukari_Araplar,G_3,1500,Cim,59,6yaa,112,NevzatAVCI,9692
Bursa,3_Yasli_Araplar,Maiden,1200,Cim,55,3yad,31,MustafaCICEK,8023
Bursa,3_Yasli_Ingilizler,Handikap_15_H2,1200,Kum,57.5,3yde,42,OnurOZTURK,7320
Istanbul,4_ve_Yukari_Araplar,SARTLI_4,2100,Cim,60,5yaa,82,AhmetCELIK,14395
Istanbul,3_Yasli_Ingilizler,Handikap_16_Disi_H1,2100,Cim,52,3ydd,48,IlkerSOYAD,13197
Istanbul,3_Yasli_Ingilizler,SATIS_4,1900,Cim,58,3yde,43,MuslumBAYDAN,11932
Istanbul,3_Yasli_Araplar,SARTLI_2,1200,Sentetik,58,3yad,41,MehmetKAYA,8293
Istanbul,3_ve_Yukari_Ingilizler,G_2,2400,Cim,58,4yaa,102,AhmetCELIK,14982
Istanbul,3_ve_Yukari_Ingilizler,KV_6,1200,Cim,60,4yda,90,MehmetKAYA,7045
Istanbul,4_Yasli_Araplar,Handikap_16_H1,2200,Sentetik,56.5,4yda,58,GokhanKOCAKAYA,15693
Ankara,4_ve_Yukari_Araplar,SARTLI_4_Disi,2200,Cim,56,6yak,42,MehmetSalihCELIK,15528
Ankara,3_Yasli_Ingilizler,Handikap_16_H1,2000,Kum,54.5,3yde,55,MuslumCELIK,13072
Ankara,4_Yasli_Araplar,Handikap_16_H1,2200,Kum,50,4yaa,43,MehmetKESKIN,15959
Ankara,3_Yasli_Ingilizler,SARTLI_5_Disi,1600,Cim,54,3ykd,52,VedatABIS,9602
Ankara,4_Yasli_Araplar,KV_8,1400,Cim,58,4yaa,95,MuslumCELIK,9311
Ankara,3_ve_Yukari_Ingilizler,KV_6,2100,Kum,56,4ydk,98,AhmetCELIK,14084
Ankara,4_ve_Yukari_Araplar,Handikap_16_H1,1600,Cim,51,4yak,43,NizamettinDEMIR,10906
Kocaeli,3_Yasli_Araplar,SARTLI_2_Disi,1500,Kum,57,3ykd,29,HalilKAPLAN,10747
Kocaeli,2_Yasli_Ingilizler,SARTLI_4_Disi,1400,Kum,60,2ydd,50,MustafaCICEK,8913
Kocaeli,4_Yasli_Araplar,Handikap_16_H2,1200,Kum,55.5,4yka,58,OnurATMACA,8313
Kocaeli,3_ve_Yukari_Ingilizler,Handikap_16_H2,1400,Kum,62,4ydk,62,KaancanGOKCE,8924
Kocaeli,3_Yasli_Araplar,Maiden,1500,Kum,51,3yad,31,GorkemOZCELIK,10868
Kocaeli,3_Yasli_Ingilizler,KV_6_Disi,1400,Kum,58,3ydd,58,AyhanKURSUN,8730
Kocaeli,3_Yasli_Araplar,Maiden,1500,Kum,57,3yke,37,GokhanGOKCE,10818
Kocaeli,3_Yasli_Ingilizler,SATIS_2,1700,Kum,58,3yde,41,AyhanKURSUN,11142
Elazig,2_Yasli_Ingilizler,Maiden,1200,Kum,57,2yke,30,HalilPARILDAR,7712
Elazig,3_Yasli_Ingilizler,Handikap_15_H3,1200,Kum,54.5,3yae,41,MehmetTASKAYA,7536
Elazig,3_ve_Yukari_Ingilizler,SARTLI_4,1900,Kum,58,6yda,76,FeritYARDIMCI,12523
Elazig,2_Yasli_Ingilizler,Maiden,1200,Kum,55,2ydd,28,IsaAKYAVUZ,8005
Elazig,4_ve_Yukari_Araplar,Handikap_16_H3,1900,Kum,60,9yka,58,RemziDOGAN,14096
Elazig,3_Yasli_Araplar,SARTLI_3,1500,Kum,57,3yke,37,HasanALTUNDAG,11102
Elazig,4_Yasli_Araplar,SARTLI_5,1600,Kum,55,4yaa,46,IsaAKYAVUZ,11604
Istanbul,4_Yasli_Araplar,Handikap_15_H1,1900,Cim,57.5,4yka,47,MehmetKAYA,12931
Istanbul,3_Yasli_Ingilizler,SARTLI_5_Disi,1600,Cim,54,3yad,41,AhmetCELIK,9597
Istanbul,2_Yasli_Ingilizler,SARTLI_3_Disi,1300,Cim,59,2ydd,39,AhmetCELIK,7909
Istanbul,3_ve_Yukari_Ingilizler,Handikap_17_H1,2200,Cim,56,4yaa,74,HalisKARATAS,13741
Istanbul,3_Yasli_Ingilizler,Maiden,1400,Cim,58,3yde,36,HalisKARATAS,8469
Istanbul,3_ve_Yukari_Ingilizler,KV_8,2000,Sentetik,59,4yda,100,HismanCIZIK,12778
Istanbul,3_Yasli_Ingilizler,Handikap_15_H1,1400,Cim,52,3ydd,39,GokhanBEKTAS,8407
Istanbul,4_ve_Yukari_Araplar,SARTLI_4,2100,Sentetik,56,6yka,70,MehmetKAYA,14768
